model_id,lema,jawaban_model,kunci_hadir,sim_definisi,persentil_vs_skor_kebetulan,peringkat_dalam_lema,jumlah_makna,latency_ms,biaya_usd,tokens_in,tokens_out
claude-haiku-4.5,Briwut,Briwut dalam bahasa Jawa berarti kumis atau rambut di atas bibir atas.,0,0.1535,0.7044,10,1,1449,0.000196,46,30
claude-haiku-4.5,Carane,"Carane berarti ""caranya"" atau ""bagaimana cara"" dalam bahasa Indonesia.",1,0.5311,0.9985,2,1,2177,0.00017,45,25
claude-haiku-4.5,Celuk,Celuk dalam bahasa Jawa berarti berteriak atau menjerit dengan keras.,0,0.2615,0.919,7,1,1775,0.00017,45,25
claude-haiku-4.5,Cempe,Cempe berarti anak kambing atau kambing muda.,1,0.649,0.9998,2,1,1319,0.00014,45,19
claude-haiku-4.5,Cetho,Cetho berarti bersih atau jernih dalam bahasa Indonesia.,0,0.1643,0.7367,10,1,3147,0.000145,45,20
claude-haiku-4.5,Cilik,Cilik berarti kecil atau anak-anak dalam bahasa Indonesia.,1,0.3694,0.9818,20,1,1425,0.00016,45,23
claude-haiku-4.5,Crigis,"Crigis berarti cemas, khawatir, atau gelisah.",0,0.3292,0.9678,8,1,1301,0.000161,46,23
claude-haiku-4.5,Dalem,Dalem berarti dalam atau di dalam dalam bahasa Indonesia.,0,-0.0209,0.0476,20,3,1292,0.000135,45,18
claude-haiku-4.5,Dateng,"Dateng dalam bahasa Jawa berarti ""datang"" atau ""tiba"" dalam bahasa Indonesia.",1,0.4383,0.9933,9,2,1902,0.00019,45,29
claude-haiku-4.5,Dong opo ora,"""Dong opo ora"" berarti ""Apa yang tidak bisa/tidak mampu"" atau ""Apa yang tidak tahu"" dalam bahasa Indonesia.",1,0.3677,0.9813,8,1,1377,0.000252,47,41
claude-haiku-4.5,Dudu,"Dudu dalam bahasa Jawa berarti ""bukan"" atau ""tidak"" dalam bahasa Indonesia.",1,0.318,0.9622,10,1,1446,0.000185,45,28
claude-haiku-4.5,Embuh,Embuh berarti tidak tahu atau entahlah dalam bahasa Indonesia.,1,0.5028,0.9975,7,1,1466,0.000155,45,22
claude-haiku-4.5,Endog,Endog dalam bahasa Jawa berarti telur dalam bahasa Indonesia.,1,0.5571,0.999,5,1,2191,0.000155,45,22
claude-haiku-4.5,Entek,Entek berarti habis atau sudah tidak ada lagi.,1,0.6654,0.9998,3,1,1350,0.00014,45,19
claude-haiku-4.5,Gangsal,Gangsal dalam bahasa Jawa berarti lima atau kelima dalam bahasa Indonesia.,1,0.2594,0.9168,4,1,1503,0.000165,45,24
claude-haiku-4.5,Geger,"Geger berarti kacau, ribut, atau keadaan yang tidak tenang dan penuh kebisingan.",1,0.483,0.9966,13,2,1752,0.000205,45,32
claude-haiku-4.5,Gentho,Gentho dalam bahasa Jawa berarti gendang atau alat musik pukul yang berbentuk silinder.,0,0.18,0.7784,6,1,3255,0.000205,45,32
claude-haiku-4.5,Graji,Graji dalam bahasa Jawa berarti gaji atau upah yang diterima seseorang dari pekerjaannya.,0,0.2031,0.8309,5,1,1458,0.000215,45,34
claude-haiku-4.5,Iki,"Iki berarti ""ini"" dalam bahasa Indonesia.",1,0.2399,0.8929,13,1,1265,0.00013,45,17
claude-haiku-4.5,Inggil,Inggil berarti naik atau mendaki (terutama dalam konteks naik ke tempat yang lebih tinggi atau ke atas).,1,0.2882,0.9434,11,3,1575,0.000231,46,37
claude-haiku-4.5,Isuk,Isuk dalam bahasa Jawa berarti pagi atau fajar dalam bahasa Indonesia.,1,0.4511,0.9944,4,1,1466,0.00017,45,25
claude-haiku-4.5,Jalaran,Jalaran berarti karena atau sebab dalam bahasa Indonesia.,1,0.5268,0.9984,4,1,1360,0.00014,45,19
claude-haiku-4.5,Janganan,Janganan berarti jangan atau larangan untuk melakukan sesuatu.,0,0.0103,0.1244,18,1,1473,0.000156,46,22
claude-haiku-4.5,Jeblos,Jeblos berarti jatuh atau terperosok ke dalam lubang/tempat yang dalam.,1,0.8155,1.0,1,1,1747,0.000186,46,28
claude-haiku-4.5,Jeglongan,Jeglongan berarti jatuh atau terjatuh dengan keras dan menimbulkan suara bising.,0,0.3226,0.9646,6,1,2130,0.000202,47,31
claude-haiku-4.5,Kae,"Kae dalam bahasa Jawa berarti ""itu"" atau ""yang"" dalam bahasa Indonesia.",1,0.1309,0.6268,9,1,1455,0.000185,45,28
claude-haiku-4.5,Kajeng,"Kajeng dalam bahasa Jawa berarti hari Jumat atau dapat juga berarti ""kejang"" (kejadian tiba-tiba).",0,0.1374,0.6505,8,2,1442,0.000245,45,40
claude-haiku-4.5,Kawulo,"Kawulo berarti rakyat, hamba, atau pelayan dalam bahasa Indonesia.",1,0.52,0.9982,4,2,1654,0.000165,45,24
claude-haiku-4.5,Kaya dene,"""Kaya dene"" berarti seolah-olah atau sepertinya dalam bahasa Indonesia.",1,0.1878,0.7977,14,1,1448,0.000187,47,28
claude-haiku-4.5,Kebluk,Kebluk berarti tersumbat atau macet (biasanya digunakan untuk saluran air atau jalan yang penuh).,0,0.2323,0.8817,13,2,1809,0.000221,46,35
claude-haiku-4.5,Keluk,"Keluk dalam bahasa Jawa berarti bengkok, melengkung, atau tidak lurus.",0,0.1234,0.5981,15,1,1720,0.000185,45,28
claude-haiku-4.5,Kepethuk,Kepethuk berarti tertabrak atau terbentur dengan keras.,0,0.1655,0.74,12,1,1490,0.000146,46,20
claude-haiku-4.5,Keplongor,Keplongor berarti terbang atau melompat dengan cepat dan tidak terkontrol.,0,0.1518,0.699,14,1,1573,0.000192,47,29
claude-haiku-4.5,Kiwa,Kiwa berarti kiri atau sebelah kiri.,1,0.4571,0.9949,1,1,2233,0.000135,45,18
claude-haiku-4.5,Koen,"Koen dalam bahasa Jawa berarti ""kamu"" atau ""engkau"" dalam bahasa Indonesia.",1,0.5552,0.9989,3,1,1381,0.000195,45,30
claude-haiku-4.5,Kowe,"Kowe berarti ""kamu"" atau ""engkau"" dalam bahasa Indonesia.",1,0.1487,0.6893,8,1,3522,0.000165,45,24
claude-haiku-4.5,Kula,"Kula dalam bahasa Jawa berarti ""saya"" atau ""aku"" (orang pertama tunggal yang bersifat formal/hormat).",1,0.0238,0.1709,17,1,1793,0.000255,45,42
claude-haiku-4.5,Kulon,Kulon dalam bahasa Jawa berarti barat atau arah ke barat.,1,0.489,0.9969,1,1,1519,0.000165,45,24
claude-haiku-4.5,Kupat,"Kupat adalah makanan tradisional berupa ketupat yang terbuat dari nasi yang dibungkus dengan anyaman daun kelapa muda, biasanya dimakan saat perayaan Lebaran.",1,0.7137,0.9999,3,1,1785,0.00031,45,53
claude-haiku-4.5,Lanang,Lanang berarti laki-laki atau jantan dalam bahasa Indonesia.,1,0.4938,0.9971,8,1,1342,0.000155,45,22
claude-haiku-4.5,lhais,"Lhais dalam bahasa Jawa berarti lemas, lemah, atau tidak bertenaga.",0,0.1394,0.6576,6,1,1531,0.000185,45,28
claude-haiku-4.5,Likur,Likur dalam bahasa Jawa berarti belakang atau bagian belakang dari sesuatu.,0,0.1486,0.6886,11,1,1434,0.00019,45,29
claude-haiku-4.5,Londo ireng,Londo ireng berarti orang asing atau orang Eropa berkulit hitam dalam bahasa Jawa.,0,0.2982,0.9506,9,1,1450,0.000212,47,33
claude-haiku-4.5,Luwes,"Luwes berarti lentur, fleksibel, atau mudah beradaptasi dengan situasi.",1,0.6391,0.9997,7,2,2255,0.000191,46,29
claude-haiku-4.5,Mbanyol,Mbanyol berarti bercanda atau bergurau dengan cara yang lucu dan menghibur.,1,0.565,0.9991,4,1,1827,0.000181,46,27
claude-haiku-4.5,Mbeling,"Mbeling berarti nakal, bandel, atau tidak menurut.",1,0.4286,0.9922,6,1,1426,0.00015,45,21
claude-haiku-4.5,mbesengut,Mbesengut berarti cemberut atau bermuka masam karena marah atau tidak puas.,1,0.611,0.9996,2,1,2292,0.000186,46,28
claude-haiku-4.5,Mbok,"Mbok adalah sebutan untuk perempuan atau ibu, biasanya digunakan untuk memanggil pembantu rumah tangga atau perempuan yang lebih tua.",1,0.7966,1.0,1,2,1742,0.00027,45,45
claude-haiku-4.5,Mboten,"Mboten berarti ""tidak"" atau ""bukan"" dalam bahasa Indonesia.",1,0.343,0.9735,4,1,1163,0.000155,45,22
claude-haiku-4.5,Meh,"Meh dalam bahasa Jawa berarti ""akan"" atau ""hendak"" (menyatakan rencana atau maksud di masa depan dekat).",0,0.0293,0.1919,19,1,1941,0.00025,45,41
claude-haiku-4.5,Mekaten,"Mekaten berarti ""begitu"" atau ""demikian"" dalam bahasa Indonesia.",1,0.4248,0.9917,3,1,2157,0.000171,46,25
claude-haiku-4.5,Mendoan,Mendoan adalah makanan tradisional Jawa berupa perkedel atau gorengan yang terbuat dari tepung terigu dan sayuran yang digoreng.,1,0.7248,0.9999,11,1,2072,0.00026,45,43
claude-haiku-4.5,Meneh,"Meneh dalam bahasa Jawa berarti ""masih"" atau ""belum"" dalam bahasa Indonesia.",0,0.1968,0.8178,9,1,1591,0.00019,45,29
claude-haiku-4.5,Menungso,Menungso dalam bahasa Jawa berarti manusia atau orang dalam bahasa Indonesia.,1,0.3178,0.9622,6,1,1409,0.000176,46,26
claude-haiku-4.5,Mrene,"Mrene dalam bahasa Jawa berarti ""pergi"" atau ""pergi ke sana"" dalam bahasa Indonesia.",0,0.4317,0.9925,8,1,1813,0.000205,45,32
claude-haiku-4.5,Mripate,Mripate berarti mata atau pandangan dalam bahasa Indonesia.,1,0.4449,0.9939,10,1,1358,0.000141,46,19
claude-haiku-4.5,Muwah-muwuh,Muwah-muwuh berarti bergerak-gerik atau bergerak kesana-kemari dengan tidak tenang atau gelisah.,0,0.1478,0.6863,13,1,1579,0.00024,50,38
claude-haiku-4.5,Namung,"Namung dalam bahasa Jawa berarti ""hanya"" atau ""sekedar"" dalam bahasa Indonesia.",1,0.3742,0.983,13,1,1744,0.000195,45,30
claude-haiku-4.5,Nanging,"Nanging berarti ""tetapi"" atau ""namun"" dalam bahasa Indonesia.",1,0.3159,0.9612,11,1,1131,0.00016,45,23
claude-haiku-4.5,Ndrawasi,Ndrawasi berarti menarik atau mengambil sesuatu dengan paksa/kasar.,0,0.3806,0.9844,7,2,1972,0.000181,46,27
claude-haiku-4.5,Nduwur,"Nduwur dalam bahasa Jawa berarti ""atas"" atau ""di atas"" dalam bahasa Indonesia.",1,0.5203,0.9982,3,1,1839,0.000201,46,31
claude-haiku-4.5,Nedha,Nedha dalam bahasa Jawa berarti makan atau mengonsumsi makanan.,1,0.3839,0.9852,2,1,1581,0.00017,45,25
claude-haiku-4.5,Ngarit,Ngarit berarti memotong rumput atau padi dengan menggunakan sabit.,1,0.5602,0.999,9,1,1791,0.000171,46,25
claude-haiku-4.5,Ngebaki,Ngebaki berarti memberi makan atau memberikan makanan kepada seseorang atau hewan.,0,0.0885,0.4536,19,1,1499,0.000186,46,28
claude-haiku-4.5,Ngecembeng,"Ngecembeng berarti bersikap sombong, angkuh, atau memamerkan diri dengan berlebihan.",0,0.1564,0.7134,11,1,1851,0.000217,47,34
claude-haiku-4.5,Ngelih,"Ngelih berarti merasa lelah, capek, atau kelelahan.",0,0.3039,0.9543,11,1,1557,0.000161,46,23
claude-haiku-4.5,nggapleki,Nggapleki berarti mengambil atau meraih sesuatu dengan tangan.,0,0.1636,0.7346,13,1,1722,0.000171,46,25
claude-haiku-4.5,Nggawe,Nggawe berarti membuat atau mengerjakan.,1,0.4512,0.9944,16,1,1711,0.000137,47,18
claude-haiku-4.5,nggeh,"Nggeh berarti ""ya"" atau ""iya"" dalam bahasa Indonesia, digunakan sebagai bentuk persetujuan atau konfirmasi dalam bahasa Jawa.",1,0.3696,0.9818,4,1,1635,0.00027,45,45
claude-haiku-4.5,Nggoser,Nggoser berarti bergeser atau menggeser sesuatu ke samping/ke depan.,0,0.4118,0.99,1,1,2345,0.000186,46,28
claude-haiku-4.5,Nggugah,"Nggugah berarti membangkitkan, menggerakkan, atau menginspirasi perasaan/emosi seseorang.",1,0.567,0.9991,1,1,10210,0.000237,47,38
claude-haiku-4.5,Ngono,"Ngono berarti ""begitu"" atau ""seperti itu"" dalam bahasa Indonesia.",1,0.2444,0.899,9,1,1316,0.00017,45,25
claude-haiku-4.5,Niku,"Niku dalam bahasa Jawa berarti ""itu"" atau ""yang"" dalam bahasa Indonesia.",1,0.1997,0.8238,1,1,1733,0.000185,45,28
claude-haiku-4.5,Ning,"Ning dalam bahasa Jawa berarti ""di"" atau ""pada"" (preposisi penunjuk tempat atau waktu).",0,0.0714,0.3759,19,2,1493,0.000214,44,34
claude-haiku-4.5,Ningali,Ningali berarti melihat atau memandang.,1,0.2257,0.8716,4,1,1304,0.00013,45,17
claude-haiku-4.5,Njero,"Njero dalam bahasa Jawa berarti ""dalam"" atau ""di dalam"" dalam bahasa Indonesia.",1,0.0347,0.2131,18,1,1640,0.000185,45,28
claude-haiku-4.5,Nrimo,Nrimo berarti menerima atau pasrah dengan ikhlas terhadap keadaan yang tidak dapat diubah.,1,0.6274,0.9997,3,1,1726,0.000211,46,33
claude-haiku-4.5,Nyambut,Nyambut berarti bekerja atau mencari nafkah.,1,0.4806,0.9965,2,1,1677,0.000146,46,20
claude-haiku-4.5,Nyandhak,Nyandhak berarti mencuri atau mengambil sesuatu secara diam-diam tanpa izin.,0,0.2388,0.8913,16,1,1660,0.000207,47,32
claude-haiku-4.5,Og,"Og dalam bahasa Jawa berarti ""atau"" dalam bahasa Indonesia.",0,0.2045,0.8336,9,1,2148,0.000154,44,22
claude-haiku-4.5,Padha,Padha berarti sama atau serupa dalam bahasa Indonesia.,1,0.6835,0.9999,10,3,1386,0.000135,45,18
claude-haiku-4.5,Pancen,"Pancen berarti ""memang"" atau ""benar-benar"" dalam bahasa Indonesia.",1,0.5608,0.999,2,1,1417,0.000175,45,26
claude-haiku-4.5,Panggah,"Panggah berarti tetap, tidak berubah, atau bertahan pada pendiriannya.",1,0.5553,0.9989,1,1,1787,0.000181,46,27
claude-haiku-4.5,Panjenengan,"Panjenengan adalah kata sapaan hormat dalam bahasa Jawa yang berarti ""Anda"" atau ""Bapak/Ibu"" dalam bahasa Indonesia.",1,0.3355,0.9704,5,1,1758,0.000272,47,45
claude-haiku-4.5,Pedhot,Pedhot dalam bahasa Jawa berarti putus atau terputus dalam bahasa Indonesia.,1,0.4784,0.9963,4,1,1898,0.000181,46,27
claude-haiku-4.5,Pewe,"Pewe dalam bahasa Jawa berarti ""perempuan"" atau ""wanita"" dalam bahasa Indonesia.",0,0.1306,0.6258,9,2,1825,0.0002,45,31
claude-haiku-4.5,Pindho,Pindho dalam bahasa Jawa berarti dua atau kedua kalinya.,1,0.5174,0.9981,4,1,1454,0.000171,46,25
claude-haiku-4.5,Pirantos,"Pirantos dalam bahasa Jawa berarti alat, peralatan, atau perlengkapan dalam bahasa Indonesia.",1,0.5696,0.9992,6,1,1404,0.000216,46,34
claude-haiku-4.5,Pitakon,Pitakon berarti pertanyaan atau tanya dalam bahasa Indonesia.,1,0.5413,0.9987,3,1,1661,0.000151,46,21
claude-haiku-4.5,Piyambak,Piyambak berarti sendiri atau diri sendiri.,1,0.6514,0.9998,4,2,1488,0.000142,47,19
claude-haiku-4.5,Purun,Purun adalah sejenis tumbuhan air yang batangnya dapat dianyam menjadi tikar atau barang kerajinan lainnya.,0,0.1531,0.7031,10,1,1992,0.00023,45,37
claude-haiku-4.5,Reksa,"Reksa berarti menjaga, melindungi, atau mengurus.",1,0.7289,1.0,1,1,1659,0.000155,45,22
claude-haiku-4.5,Rene,"Rene dalam bahasa Jawa berarti ""rasa"" atau ""perasaan"" dalam bahasa Indonesia.",0,0.0047,0.1068,18,1,1611,0.000195,45,30
claude-haiku-4.5,Riyoyo,Riyoyo dalam bahasa Jawa berarti riuh atau ramai (suara yang bising dan gaduh).,0,0.1548,0.7086,9,1,1942,0.000207,47,32
claude-haiku-4.5,Rontek,Rontek berarti mengobrol atau berbincang santai dengan orang lain.,0,0.0566,0.3085,16,1,1800,0.000165,45,24
claude-haiku-4.5,Sae,"Sae dalam bahasa Jawa berarti ""baik"" atau ""bagus"" dalam bahasa Indonesia.",1,0.4833,0.9966,10,1,1281,0.00019,45,29
claude-haiku-4.5,Saged,"Saged dalam bahasa Jawa berarti ""mampu"" atau ""bisa"" dalam bahasa Indonesia.",1,0.5161,0.998,6,1,1531,0.00019,45,29
claude-haiku-4.5,Sagedipun,"Sagedipun berarti ""mampu"" atau ""dapat"" dalam bahasa Indonesia.",1,0.2639,0.9215,6,1,1714,0.000167,47,24
claude-haiku-4.5,Sampun,Sampun berarti sudah atau telah dalam bahasa Indonesia.,1,0.4294,0.9923,19,2,1935,0.00014,45,19
claude-haiku-4.5,Sanadyan,"Sanadyan berarti ""meskipun"" atau ""walaupun"" dalam bahasa Indonesia.",1,0.291,0.9455,8,1,1733,0.000186,46,28
claude-haiku-4.5,Seje,Seje dalam bahasa Jawa berarti sama atau sejenis.,0,0.1742,0.7636,10,1,1752,0.000145,45,20
claude-haiku-4.5,Senep,Senep dalam bahasa Jawa berarti menyepit atau mencubit dengan jari.,0,0.2906,0.9452,6,2,1953,0.00018,45,27
claude-haiku-4.5,Sewelas,Sewelas berarti sebelas atau angka 11 dalam bahasa Indonesia.,1,0.4914,0.997,3,1,1805,0.000155,45,22
claude-haiku-4.5,Sitok,Sitok dalam bahasa Jawa berarti sedikit atau sebentar.,0,0.2575,0.9146,6,1,1256,0.00016,45,23
claude-haiku-4.5,Songo,Songo dalam bahasa Jawa berarti sembilan.,1,0.3433,0.9736,10,1,1358,0.000135,45,18
claude-haiku-4.5,sopo,"Sopo dalam bahasa Jawa berarti ""siapa"" dalam bahasa Indonesia.",1,0.408,0.9894,8,1,1368,0.000164,44,24
claude-haiku-4.5,Stel kendo,"Stel kendo berarti ""setara"" atau ""sebanding"" dalam bahasa Indonesia.",0,0.1571,0.7156,11,1,2407,0.000172,47,25
claude-haiku-4.5,Sugeng,"Sugeng dalam bahasa Jawa berarti selamat, baik, atau sejahtera dalam bahasa Indonesia.",1,0.4616,0.9953,7,1,1915,0.0002,45,31
claude-haiku-4.5,Sumelang,Sumelang berarti melompat atau meloncat dengan cepat dan berulang-ulang.,0,0.133,0.6349,12,1,1672,0.000191,46,29
claude-haiku-4.5,Sundel,Sundel berarti hantu perempuan yang muncul dari mayat wanita yang meninggal saat hamil atau melahirkan dalam kepercayaan Jawa.,1,0.2787,0.9356,9,2,1849,0.00028,45,47
claude-haiku-4.5,Surup,Surup berarti matahari terbenam atau senja.,1,0.6954,0.9999,6,1,2740,0.00014,45,19
claude-haiku-4.5,Syawalan,"Syawalan adalah tradisi saling mengunjungi dan meminta maaf-maafan setelah bulan Ramadan berakhir, biasanya dilakukan pada hari-hari pertama Syawal.",1,0.6436,0.9998,9,1,1862,0.000321,46,55
claude-haiku-4.5,Tali goci,"Tali goci adalah tali yang digunakan untuk mengikat atau mengencangkan sesuatu, terutama dalam konteks tradisional Jawa.",0,0.4045,0.9889,16,1,1375,0.000252,47,41
claude-haiku-4.5,Tengen,Tengen dalam bahasa Jawa berarti tangan kanan atau sebelah kanan.,1,0.4502,0.9944,2,1,1823,0.000175,45,26
claude-haiku-4.5,Tiwas,Tiwas berarti mati atau binasa.,1,0.6287,0.9997,2,3,2051,0.000126,46,16
claude-haiku-4.5,Tresna,Tresna berarti cinta atau kasih sayang.,1,0.5041,0.9976,8,1,1488,0.000136,46,18
claude-haiku-4.5,Tumbas,Tumbas dalam bahasa Jawa berarti membeli atau menukar dengan uang.,1,0.6011,0.9995,2,1,1423,0.000171,46,25
claude-haiku-4.5,Tur,"Tur dalam bahasa Jawa berarti ""turun"" atau ""menurun"".",0,-0.0127,0.0633,16,1,1681,0.000165,45,24
claude-haiku-4.5,Unjung-unjung,Unjung-unjung berarti pada akhirnya atau pada kesimpulannya.,0,0.0366,0.2214,20,1,2245,0.000185,50,27
claude-haiku-4.5,Urug,Urug dalam bahasa Jawa berarti menimbun atau mengisi lubang dengan tanah.,1,0.6823,0.9999,7,1,1493,0.00018,45,27
claude-haiku-4.5,Wadon,Wadon berarti perempuan atau wanita.,1,0.4847,0.9967,5,1,1179,0.00013,45,17
claude-haiku-4.5,Wedhi,Wedhi dalam bahasa Jawa berarti pasir atau tanah berpasir dalam bahasa Indonesia.,1,0.4568,0.9949,1,1,1568,0.00019,45,29
claude-haiku-4.5,Wo,"Wo dalam bahasa Jawa berarti ""aku"" atau ""saya"" (orang pertama tunggal).",0,0.0397,0.2344,18,2,2109,0.000204,44,32
claude-haiku-4.5,Yen,"Yen dalam bahasa Jawa berarti ""jika"" atau ""kalau"" dalam bahasa Indonesia.",1,0.514,0.998,11,1,1931,0.00019,45,29
deepseek-v4-flash-0731,akeh,"""Akeh"" berarti ""banyak"" dalam bahasa Indonesia.",1,0.2859,0.9416,10,1,1807,2.678e-05,31,135
deepseek-v4-flash-0731,Anggitan,Anggitan berarti karangan atau gubahan (terutama syair atau tembang).,1,0.1929,0.8092,11,1,3690,4.928e-05,32,160
deepseek-v4-flash-0731,bajigur,"Bajigur adalah minuman hangat khas Sunda/Jawa yang terbuat dari gula aren, santan, dan jahe, atau bisa juga berarti ungkapan kaget/umpatan halus.",1,0.7471,1.0,1,2,4449,3.5784e-05,32,268
deepseek-v4-flash-0731,Balung,"Balung berarti ""tulang"" dalam bahasa Indonesia.",1,0.2011,0.8267,13,1,1429,4.7499e-05,31,134
deepseek-v4-flash-0731,bantet,"Bantet berarti tidak mengembang (biasanya untuk kue atau roti), atau bisa juga berarti buntu/macet.",0,0.3924,0.9869,3,1,2065,3.9603872e-05,32,147
deepseek-v4-flash-0731,Bedat,Bedat artinya 'terlepas' atau 'lepas' (seperti terlepas dari ikatan atau tempatnya).,0,0.264,0.9216,4,1,7100,6.923e-05,31,479
deepseek-v4-flash-0731,Bisane,"""Bisane"" berarti ""kemampuannya"" atau ""caranya"" dalam bahasa Indonesia.",1,0.3078,0.9566,10,2,5675,4.6179e-05,31,351
deepseek-v4-flash-0731,Blumbang,Blumbang artinya kolam (sumber air) yang biasanya digunakan untuk mandi atau memelihara ikan.,1,0.6896,0.9999,3,1,2666,3.5319872e-05,32,130
deepseek-v4-flash-0731,Bolo,"""Bolo"" dalam bahasa Indonesia berarti ""teman"" atau ""kawan"".",1,0.5099,0.9978,5,3,1185,1.64472e-05,31,118
deepseek-v4-flash-0731,Bondho,Bondho artinya harta atau kekayaan (benda berharga).,1,0.6669,0.9998,4,1,1399,1.832e-05,31,88
deepseek-v4-flash-0731,Bongko,Bongko adalah makanan berupa tempe atau tahu yang diisi adonan tepung berbumbu lalu digoreng.,0,0.554,0.9989,4,2,5859,0.0001008,32,344
deepseek-v4-flash-0731,Briwut,Briwut artinya cerewet atau banyak bicara.,0,0.2438,0.8981,6,1,1631,2.19296e-05,32,162
deepseek-v4-flash-0731,Carane,"Artinya ""caranya"" (cara atau metode untuk melakukan sesuatu).",1,0.2829,0.9392,20,1,4293,3.128e-05,31,160
deepseek-v4-flash-0731,Celuk,"Arti kata ""celuk"" dalam bahasa Indonesia adalah ""panggil"" atau ""memanggil"".",1,0.4128,0.9901,5,1,2370,1.3167e-05,31,89
deepseek-v4-flash-0731,Cempe,Cempe berarti anak kambing atau anak domba.,1,0.5695,0.9992,3,1,3038,1.358e-05,32,81
deepseek-v4-flash-0731,Cetho,"Arti kata ""Cetho"" dalam bahasa Indonesia adalah jelas atau terang.",1,0.4933,0.9971,3,1,2626,2.912e-05,38,85
deepseek-v4-flash-0731,Cilik,"""Cilik"" berarti **kecil** dalam bahasa Indonesia.",1,0.5436,0.9987,10,1,9931,2.4988e-05,31,134
deepseek-v4-flash-0731,Crigis,"Arti kata ""crigis"" dalam bahasa Indonesia adalah pelit atau kikir.",0,0.2626,0.9202,10,1,2765,3.8343872e-05,32,142
deepseek-v4-flash-0731,Dalem,"Dalem berarti 'rumah', atau bisa juga berarti 'saya' (aku) dalam bahasa Jawa halus (krama inggil).",0,0.5143,0.998,4,3,25965,8.5828e-05,31,472
deepseek-v4-flash-0731,Dateng,"Dateng artinya ""datang"" atau ""tiba"" dalam bahasa Indonesia.",1,0.5677,0.9991,2,2,2890,2.0349e-05,31,146
deepseek-v4-flash-0731,Dong opo ora,"Artinya ""Apa iya tidak?"" atau ""Kok tidak?"", biasanya dipakai untuk menyatakan heran atau memastikan.",0,0.552,0.9989,1,1,17097,0.000396011868,33,1561
deepseek-v4-flash-0731,Dudu,"Arti kata ""dudu"" dalam bahasa Indonesia adalah ""bukan"".",1,0.4274,0.992,3,1,3096,3.75e-05,31,69
deepseek-v4-flash-0731,Embuh,"Embuh artinya ""tidak tahu"" atau ""tidak mau tahu"" dalam bahasa Indonesia.",1,0.5761,0.9992,5,1,2243,1.395142e-05,31,98
deepseek-v4-flash-0731,Endog,Endog artinya telur.,1,0.5859,0.9994,1,1,1436,8.379e-06,31,51
deepseek-v4-flash-0731,Entek,Entek artinya habis atau tidak tersisa.,1,0.6533,0.9998,4,1,2164,2.2219e-05,31,55
deepseek-v4-flash-0731,Gangsal,Gangsal artinya lima.,1,0.319,0.9628,2,1,2965,2.296e-05,32,66
deepseek-v4-flash-0731,Geger,"Geger berarti gempar, heboh, atau ribut (kerusuhan/kegemparan besar).",1,0.4779,0.9963,14,2,1323,3.511e-05,31,111
deepseek-v4-flash-0731,Gentho,Gentho berarti bodoh atau tolol dalam bahasa Indonesia.,0,0.1237,0.5995,7,1,1700,2.8687876e-05,31,104
deepseek-v4-flash-0731,Graji,Graji berarti gergaji (alat untuk memotong kayu atau besi).,1,0.0748,0.3914,13,1,2198,4.83e-05,31,157
