item_id,tugas,model_a,model_b,cocok,benar_a,benar_b
id-b1-015,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,0,0
id-b1-015,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,0,0
id-b1-015,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,0,0
id-b1-016,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-016,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,1
id-b1-016,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,1
id-b1-017,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-017,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-017,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-018,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,0
id-b1-018,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,0,0
id-b1-018,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,0,0
id-b1-019,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-019,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-019,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-020,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-020,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,1
id-b1-020,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,1
id-b1-021,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-021,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-021,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-022,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-022,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-022,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-024,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-024,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-024,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-028,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,1
id-b1-028,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,0,0
id-b1-028,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-029,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-029,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-029,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-030,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-030,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-030,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-031,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-031,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-031,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-032,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,1
id-b1-032,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,0,0
id-b1-032,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-033,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-033,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-033,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-035,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-035,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-035,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-036,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,1
id-b1-036,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,0,1
id-b1-036,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-038,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,1,0
id-b1-038,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-038,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,0,0
id-b1-040,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-040,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-040,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-042,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,0
id-b1-042,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,0,0
id-b1-042,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,0,0
id-b1-043,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-043,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-043,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-044,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-046,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-046,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-046,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-048,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-048,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-048,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,0
id-b1-049,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,1,0
id-b1-049,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,0
id-b1-049,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,0,0
id-b1-051,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-051,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b1-051,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b1-052,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b1-052,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,1,1
id-b1-052,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,1,1
id-b3-003,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,1,0
id-b3-003,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b3-003,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,0,1
id-b3-004,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b3-004,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b3-004,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b3-005,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,0,1
id-b3-005,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,0,0,1
id-b3-005,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b3-006,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,1
id-b3-006,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b3-006,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,1,1
id-b3-007,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,1,1,0
id-b3-007,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b3-007,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,1,0,1
id-b3-008,pilihan-ganda,laguna-s-2.1-free,nemotron-3-super-120b-free,0,1,0
id-b3-008,pilihan-ganda,laguna-s-2.1-free,nemotron-3.5-lightning-free,1,1,1
id-b3-008,pilihan-ganda,nemotron-3-super-120b-free,nemotron-3.5-lightning-free,0,0,1
