model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,benar_tertahan,n_dinilai_tertahan,skor_tertahan,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
ling-3.0-flash,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,25,,27,27,0.9259,10,11,0.9091,0.0007948020,9074,8621,1419,0,0,0,1,2400,2026-08-14T06:46:41+0700,1
ling-3.0-flash,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,37,,42,42,0.881,17,18,0.9444,0.0011216112,13334,10279,1410,0,0,0,0,2400,2026-08-17T22:39:41+0700,1
llama-3-1-8b-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,22,,27,27,0.8148,8,11,0.7273,,8726,76,460,0,0,0,1,600,2026-08-15T16:26:12+0700,1
llama-3-1-8b-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,32,,42,42,0.7619,13,18,0.7222,,12771,120,533,0,0,0,0,600,2026-08-17T22:01:49+0700,1
mistral-small-3-2501,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,32,,42,42,0.7619,13,18,0.7222,0.0005638000,11084,120,501,0,0,0,0,600,2026-08-17T22:26:50+0700,1
mistral-small-3-2501,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,22,,27,27,0.8148,10,11,0.9091,0.0003830300,7539,76,486,0,0,0,1,600,2026-08-13T14:46:23+0700,1
qwen3-30b-a3b-2507,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,37,,42,42,0.881,16,18,0.8889,0.0011205553,12684,103,701,0,0,0,0,600,2026-08-17T22:32:46+0700,1
qwen3-30b-a3b-2507,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,23,,27,27,0.8519,10,11,0.9091,0.0007187751,8681,63,533,0,0,0,1,600,2026-08-14T03:02:53+0700,1
sahabatai-1-llama3-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,22,,27,27,0.8148,8,11,0.7273,,8726,76,292,0,0,0,1,600,2026-08-14T23:06:00+0700,1
sahabatai-1-llama3-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,40,,42,42,0.9524,16,18,0.8889,,12771,120,441,0,0,0,0,600,2026-08-17T22:04:03+0700,1
sahabatai-1-llama3-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,2,d3e8c01bc554,4e94e1cb7f25,40,,42,42,0.9524,16,18,0.8889,,12771,120,430,0,0,0,0,600,2026-08-17T22:10:43+0700,1
sea-lion-v4-5-e2b-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,21,,27,27,0.7778,6,11,0.5455,,6709,76,834,0,0,0,1,600,2026-08-15T16:24:11+0700,1
sea-lion-v4-5-e2b-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,33,,42,42,0.7857,12,18,0.6667,,9920,120,843,0,0,0,0,600,2026-08-17T22:06:40+0700,1
seed-2.0-mini,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,37,,42,42,0.881,16,18,0.8889,0.0107654000,12826,23707,1755,0,0,0,0,8000,2026-08-20T01:16:06+0700,1
solar-pro4,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,4e94e1cb7f25,24,,27,27,0.8889,8,11,0.7273,0.0002874900,9247,84,1411,0,0,0,1,600,2026-08-14T08:36:04+0700,1
solar-pro4,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,d3e8c01bc554,4e94e1cb7f25,37,,42,42,0.881,15,18,0.8333,0.0004288800,13796,125,881,0,0,0,0,600,2026-08-17T22:19:00+0700,1
